Sexo;Tipo de discapacidad;Tipo de indicador;Personas con discapacidad;año;Total
Hombres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2010;..
Hombres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2022;-13,5
Hombres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2021;-13,8
Hombres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2020;-13,9
Hombres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2019;-13,4
Hombres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2018;-13,9
Hombres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2017;-11,5
Hombres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2016;-12,2
Hombres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2015;-11,5
Hombres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2014;-12,5
Hombres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2013;..
Hombres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2012;..
Hombres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2011;..
Hombres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2010;..
Mujeres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2022;20.898,9
Mujeres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2021;20.193,7
Mujeres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2020;19.237,4
Mujeres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2019;18.863,7
Mujeres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2018;17.949,2
Mujeres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2017;17.730,8
Mujeres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2016;17.365,0
Mujeres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2015;17.778,1
Mujeres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2014;16.732,4
Mujeres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2013;17.208,6
Mujeres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2012;17.909,7
Mujeres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2011;18.538,9
Mujeres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2010;19.355,5
Mujeres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2022;14,5
Mujeres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2021;14,1
Mujeres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2020;13,5
Mujeres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2019;13,3
Mujeres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2018;12,5
Mujeres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2017;12,2
Mujeres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2016;12,0
Mujeres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2015;12,3
Mujeres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2014;11,5
Mujeres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2013;12,0
Mujeres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2012;12,2
Mujeres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2011;12,5
Mujeres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2010;12,8
Mujeres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2022;22.776,3
Mujeres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2021;21.858,1
Mujeres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2020;21.045,9
Mujeres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2019;20.032,8
Mujeres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2018;18.936,9
Mujeres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2017;18.758,5
Mujeres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2016;18.305,5
Mujeres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2015;18.629,0
Mujeres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2014;17.651,6
Mujeres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2013;17.732,5
Mujeres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2012;18.695,5
Mujeres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2011;19.410,8
Mujeres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2010;21.039,3
Mujeres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2022;15,8
Mujeres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2021;14,9
Mujeres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2020;14,4
Mujeres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2019;13,9
Mujeres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2018;13,1
Mujeres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2017;12,8
Mujeres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2016;12,6
Mujeres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2015;12,8
Mujeres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2014;12,2
Mujeres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2013;12,6
Mujeres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2012;12,9
Mujeres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2011;13,2
Mujeres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2010;13,9
Mujeres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2022;-13.858,1
Mujeres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2021;-11.560,3
Mujeres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2020;-11.813,1
Mujeres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2019;-11.390,7
Mujeres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2018;-10.129,1
Mujeres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2017;-10.761,1
Mujeres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2016;-10.380,8
Mujeres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2015;-10.069,7
Mujeres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2014;-9.636,1
Mujeres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2013;-10.875,5
Mujeres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2012;-10.454,6
Mujeres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2011;-10.438,9
Mujeres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2010;-10.650,2
Mujeres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2022;-9,3
Mujeres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2021;-8,7
Mujeres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2020;-8,8
Mujeres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2019;-8,4
Mujeres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2018;-7,9
Mujeres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2017;-7,3
Mujeres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2016;-7,1
Mujeres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2015;-7,1
Mujeres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2014;-7,0
Mujeres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2013;-7,1
Mujeres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2012;-6,8
Mujeres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2011;-6,9
Mujeres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2010;-7,4
Mujeres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2022;-17.091,1
Mujeres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2021;-17.973,0
Mujeres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2020;-16.466,8
Mujeres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2019;-17.171,9
Mujeres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2018;-15.255,7
Mujeres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2017;-16.176,8
Mujeres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2016;-15.967,4
Mujeres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2015;-15.191,9
Mujeres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2014;-15.466,7
Mujeres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2013;-15.182,8
Mujeres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2012;-16.090,1
Mujeres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2011;-18.300,3
Mujeres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2010;-16.544,1
Mujeres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2022;-11,8
Mujeres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2021;-12,9
Mujeres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2020;-12,0
Mujeres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2019;-12,2
Mujeres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2018;-10,6
Mujeres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2017;-11,0
Mujeres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2016;-11,2
Mujeres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2015;-11,5
Mujeres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2014;-10,7
Mujeres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2013;-10,7
Mujeres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2012;-11,4
Mujeres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2011;-12,2
Mujeres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2010;-11,4
Mujeres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2022;21.373,3
Mujeres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2021;20.848,1
Mujeres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2020;19.639,3
Mujeres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2019;19.704,3
Mujeres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2018;18.829,6
Mujeres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2017;17.718,5
Mujeres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2016;17.784,8
Mujeres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2015;18.876,3
Mujeres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2014;-18.065,2
Mujeres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2013;18.124,8
Mujeres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2012;-18.271,2
Mujeres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2011;-18.233,7
Mujeres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2010;-17.991,3
Mujeres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2022;15,0
Mujeres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2021;14,5
Mujeres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2020;13,8
Mujeres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2019;14,0
Mujeres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2018;12,9
Mujeres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2017;12,7
Mujeres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2016;12,5
Mujeres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2015;12,9
Mujeres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2014;-12,2
Mujeres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2013;12,2
Mujeres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2012;-12,2
Mujeres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2011;-12,4
Mujeres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2010;-11,6
Mujeres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2022;-16.255,5
Mujeres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2021;.
Mujeres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2020;.
Mujeres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2019;.
Mujeres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2018;.
Mujeres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2017;.
Mujeres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2016;.
Mujeres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2015;.
Mujeres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2014;.
Mujeres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2013;..
Mujeres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2012;..
Mujeres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2011;..
Mujeres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2010;..
Mujeres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2022;-12,6
Mujeres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2021;.
Mujeres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2020;.
Mujeres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2019;.
Mujeres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2018;.
Mujeres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2017;.
Mujeres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2016;.
Mujeres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2015;.
Mujeres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2014;.
Mujeres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2013;..
Mujeres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2012;..
Mujeres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2011;..
Mujeres;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2010;..
